8.760285186767578125e+01,1.040826492309570312e+02,1.728850708007812500e+02,1.034735946655273438e+02,1.310556182861328125e+02,1.426370086669921875e+02,9.968731689453125000e+01,1.822730865478515625e+02,1.621717681884765625e+02,1.820018005371093750e+02
8.479457092285156250e+01,1.038639831542968750e+02,1.695361633300781250e+02,1.036827850341796875e+02,1.300192718505859375e+02,1.429275665283203125e+02,9.798210144042968750e+01,1.826830596923828125e+02,1.608251800537109375e+02,1.828004455566406250e+02
8.666290283203125000e+01,1.041096267700195312e+02,1.707797698974609375e+02,1.029560852050781250e+02,1.306329498291015625e+02,1.426351165771484375e+02,9.938211059570312500e+01,1.821214294433593750e+02,1.622398834228515625e+02,1.808746032714843750e+02
8.436110687255859375e+01,1.043953094482421875e+02,1.698398284912109375e+02,1.029014968872070312e+02,1.268363189697265625e+02,1.431700286865234375e+02,9.631395721435546875e+01,1.809208526611328125e+02,1.597798614501953125e+02,1.812876586914062500e+02
8.585636901855468750e+01,1.048139495849609375e+02,1.712968444824218750e+02,1.026815414428710938e+02,1.308812561035156250e+02,1.432157592773437500e+02,9.942440032958984375e+01,1.811233673095703125e+02,1.628080291748046875e+02,1.804507446289062500e+02
8.565399932861328125e+01,1.042388687133789062e+02,1.699593963623046875e+02,1.034975433349609375e+02,1.304807739257812500e+02,1.449256591796875000e+02,9.636742401123046875e+01,1.826488800048828125e+02,1.607373809814453125e+02,1.824846191406250000e+02
8.302676391601562500e+01,1.038866271972656250e+02,1.710795745849609375e+02,1.030759048461914062e+02,1.273630981445312500e+02,1.434511871337890625e+02,9.616400146484375000e+01,1.844739379882812500e+02,1.611812591552734375e+02,1.818038787841796875e+02
8.199855041503906250e+01,1.025376663208007812e+02,1.702336273193359375e+02,1.041843032836914062e+02,1.206497879028320312e+02,1.428210449218750000e+02,9.305618286132812500e+01,1.825670776367187500e+02,1.583665161132812500e+02,1.846793975830078125e+02
8.483282470703125000e+01,1.031040725708007812e+02,1.746062927246093750e+02,1.038558578491210938e+02,1.318719482421875000e+02,1.431420135498046875e+02,9.751494598388671875e+01,1.827415313720703125e+02,1.650641784667968750e+02,1.815870971679687500e+02
8.314424896240234375e+01,1.045730361938476562e+02,1.693041992187500000e+02,1.025705642700195312e+02,1.302853240966796875e+02,1.436347503662109375e+02,9.710195159912109375e+01,1.823620147705078125e+02,1.604902954101562500e+02,1.815600433349609375e+02
